대여차량의 반납을 지연한 경우, 임대인은 대여인에게 연체일수에 따른 위약금 5만 원이 이를당시 차량임대료의 일 배상을 포함하여 청구할 수 있습니다.	ko	high	PENALTY
In the event of a delay in returning the rented vehicle, the lessor may claim a penalty fee of 50,000 won per day delayed, which includes one times the daily rental fee at the time of contract.	en	high	PENALTY
위임된 업무를 완수하지 않은 경우에는 위탁인은 소속원에게 미완료 일수에 대한 지연손해금 1만 원이 청구될 수 있습니다.	ko	high	PENALTY
In case the entrusted work is not completed, the principal may claim a late fee of 10,000 won per day of incomplete work.	en	high	PENALTY
양측은 계약을 위반한 경우, 위반자에게 5백만 원의 벌금이 부과될 수 있습니다.	ko	high	PENALTY
In the event of a breach of contract, either party may be fined KRW 5 million.	en	high	PENALTY
계약 이행에 불이행한 당사자는 배상금 3백만 원을 지급해주어야 하며, 이를 지정하지 않은 경우 배상금은 위약금으로 적용됩니다.	ko	high	PENALTY
The party in breach of the contract shall pay KRW 3 million as damages. In case no compensation is agreed upon, it will be treated as a penalty.	en	high	PENALTY
위반자가 계약을 이행하지 않을 시, 손해를 입은 당사자는 위의 벌금뿐만 아니라 추가로 5백만 원의 불이행 배상금을 청구할 수 있습니다.	ko	high	PENALTY
In case the breaching party fails to perform the contract, in addition to the above penalties, the aggrieved party may claim an additional KRW 5 million for non-performance damages.	en	high	PENALTY
차량 보관함 이용과 관련하여 발생하는 손해는 이용자가 책임지고 청구 받을 수 있으며, 이로 인한 위약금은 이용자의 부담입니다.	ko	high	PENALTY
The user shall bear and be charged any losses arising from the use of the parking facility, including any penalty fees.	en	high	PENALTY
서비스 제공업체가 서비스를 지연하여 제공하는 경우, 고객사는 일당 10만 원에 해당되는 지연손해금을 손해배상을 대체로 청구할 수 있습니다.	ko	high	PENALTY
In case of delayed service provision by the service provider, the customer may claim a late fee equivalent to 100,000 won per day in lieu of damages.	en	high	PENALTY
보증인은 원채무자의 불이행에 따른 위약금 2백만 원을 확담하여 손해배상 책임을 다할 수 있습니다.	ko	high	PENALTY
The guarantor may ensure the compensation for damages up to KRW 2 million as a penalty due to the principal debtor's breach of contract.	en	high	PENALTY
판매자가 제품의 품질 미달로 인한 불이행시, 구입자는 위약금으로부터 5백만 원을 배상받을 수 있습니다.	ko	high	PENALTY
In case of non-performance caused by product quality issues, the buyer may be compensated up to KRW 5 million as a penalty.	en	high	PENALTY
가맹사업에서 가맹주는 위배된 계약 조항에 따라 벌금 1백만 원을 부과할 수 있습니다.	ko	high	PENALTY
The franchisor may impose a fine of KRW 1 million for the breached terms of the franchise agreement.	en	high	PENALTY
위약금은 한 쪽이 계약을 위반했을 경우, 위반한 당사자가 상대방에게 100만원의 위약금을 지급하기로하였습니다.	ko	high	PENALTY
In the event of a party's breach of contract, the breaching party shall pay KRW 1,000,000 as liquidated damages to the other party.	en	high	PENALTY
지연손해금은 서비스 이용이 시작된 후 3개월 이내에 계약이 종료되지 않을 경우 발생하며, 매일마다 이용비의 2%를 지불해야 합니다.	ko	high	PENALTY
Late fees will be incurred at a rate of 2% per day on the usage fee, starting from the fourth month after service usage begins until the contract expires without termination.	en	high	PENALTY
벌금은 계약당사자가 자신의 의무를 위반할 경우 발생하며, 일정 기간 동안 당해 의무를 수행하지 않은 경우에는 KRW 30만원의 벌금을 지급해야 합니다.	ko	high	PENALTY
A fine of KRW 300,000 shall be paid by the party in breach of its obligation for a certain period during which such party fails to perform such obligation.	en	high	PENALTY
몰수 조항은 재해 발생 시, 손해배상이 제한적인 경우에 주용기, 컴퓨터 하드디스크 등의 소유권을 몰수하여 물리적으로 보호하는 것을 목표로 합니다.	ko	high	PENALTY
The forfeiture clause aims to physically protect items such as major equipment and computer hard drives by transferring their ownership in the event of a disaster when liability for damages is limited.	en	high	PENALTY
위약금은 임대차 계약이 3개월 동안 연장되게 되었을 때, 임차인이 계약 위반으로 인해 철수한 경우 KRW 500만원을 지급해야 합니다.	ko	high	PENALTY
In the event of a breach by the lessee resulting in their withdrawal after a three-month lease renewal, the lessee shall pay KRW 5 million as liquidated damages.	en	high	PENALTY
서비스 이용자가 일정 기간 동안 서비스 이용을 중단한 경우, 지연손해금은 각 날마다 사용료의 4%를 정산하여 상환해야 합니다.	ko	high	PENALTY
In the event of a user's suspension or cessation of service usage for a certain period, late fees will be calculated at 4% per day of the amount due and shall be repaid accordingly.	en	high	PENALTY
벌금은 기업간 거래에서 파생되는 지연일반 손해가 발생했을 때, 일정 금액의 벌금이 부과되며, 이는 보통 KRW 20만원입니다.	ko	high	PENALTY
A fine of a fixed amount, typically ranging from KRW 200,000, shall be imposed upon the occurrence of general delay losses in B2B transactions.	en	high	PENALTY
위약금은 계약 당사자가 파산한 경우, 파산 신청이 이루어진 날로부터 3개월 동안 계약당사자에게 KRW 100만원을 지급해야 합니다.	ko	high	PENALTY
In the event of a party's bankruptcy filing, the other party shall pay KRW 1 million as liquidated damages from the date of the filing for a period of three months.	en	high	PENALTY
몰수 조항은 계약 당사자가 위반하는 경우, 주요 자산의 소유권을 몰수하여 보호하고, 이는 보통 회사의 시설 장비 등에 적용됩니다.	ko	high	PENALTY
The forfeiture clause aims to protect key assets by transferring their ownership in the event of a party's breach, typically applicable to major equipment and facilities of a company.	en	high	PENALTY
위약금은 사후적으로 계약을 해지하거나 변경하였을 경우, 해당 당사자에게 KRW 500만원이 책정되어 지급됩니다.	ko	high	PENALTY
In the event that a party terminates or alters the contract post-facto, it shall be required to pay liquidated damages of KRW 5 million.	en	high	PENALTY
차임이 지급일로부터 일주일 이후에 이루어지면, 임차인은 위약금으로 100만원을 납부하여야 합니다.	ko	high	PENALTY
If the rent is not paid within one week from the due date, the tenant shall pay a penalty of KRW 1,000,000.	en	high	PENALTY
거래가 성립되지 않거나 계약이 해지될 경우, 당사자는 지연손해금으로 각자 상대방에 대해 200만원을 손해배상의 대체로 청구할 수 있습니다.	ko	high	PENALTY
In the event that a deal fails to be concluded or a contract is terminated, each party may claim liquidated damages of KRW 2,000,000 from the other party as an alternative to damages for loss.	en	high	PENALTY
급여지급일로부터 한 달을 초과하는 날에 지급되지 아니하면, 고용자는 대출인에게 일월당 50만원의 벌금을 청구할 수 있습니다.	ko	high	PENALTY
If the salary is not paid more than one month after the due date, the employer may claim a penalty of KRW 500,000 per month from the employee.	en	high	PENALTY
계약 당사자 중 한 party가 계약의 주요 조건을 위반하게 되면, 이에 따라 위약금으로 300만원을 부담해야 합니다.	ko	high	PENALTY
If one of the parties breaches a major condition of this contract, it shall bear a penalty of KRW 3,000,000.	en	high	PENALTY
디지털 서비스 제공 중 중단 시간이 일주일 이상 발생하게 되면, 고객사는 해당 기간에 대한 사용료의 10%를 계약 당사자에게 지불해야 합니다.	ko	high	PENALTY
If the service interruption exceeds one week during the provision of digital services, the customer shall pay to the other party a fee equivalent to 10 percent of the payment for that period.	en	high	PENALTY
해피셀프 서비스 이용료는 매월 25일에 청구되며, 그 날 이후로 7일 동안은 지연손해금으로 당사자에게 KRW 30만원이 청구됩니다.	ko	high	PENALTY
